"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"S006 36192     ",55,"'FAU 5001/144TH ST'","'144TH @ W DODGE OMAHA'",1992,34,"6","8","7",6,"F",23000,7,FALSE
"S006 36240     ",55,"'US6/WEST DODGE ST'","'W DODGE @ 138TH STOMAHA'",1991,35,"7","6","8",6,"F",104955,2,FALSE
"S006 36293     ",55,"'FAU 5003/132ND ST'","'132ND ST @ W DODGE ST'",1991,35,"6","7","8",6,"F",27630,0,FALSE
"S006 36428A    ",55,"'EB EXPRESSWAY'","'WEST DODGE RD OMAHA'",2004,22,"7","8","7",7,"G",93895,2,FALSE
"S006 36428B    ",55,"'WB EXPRESWAY'","'WEST DODGE RD OMAHA'",2004,22,"7","8","7",7,"G",93895,2,FALSE
"S006 36466A    ",55,"'RAMP 30 OVER PAPIO'","'WEST DODGE EXPRESSWAY'",2004,22,"8","8","8",8,"G",93895,2,FALSE
"S006 36484     ",55,"'WB-US6'","'108TH & DODGE INTRCHG'",1973,53,"8","8","6",6,"F",93895,2,FALSE
"S006 36484A    ",55,"'EB BRG OVR 108TH'","'108TH & DODGE BRG#9'",2005,21,"9","8","7",7,"G",93895,2,FALSE
"S006 36484B    ",55,"'WB US6 BRG#6'","'108TH & DODGE'",2005,21,"9","8","8",8,"G",93895,2,FALSE
"S006 36484C    ",55,"'WB-US6 BRG #8'","'108TH &AMP; DODGE'",2005,21,"8","8","8",8,"G",93895,2,FALSE
"S006 36484D    ",55,"'RMP 40 BRG#7'","'108TH & DODGE'",2005,21,"8","8","8",8,"G",93895,2,FALSE
"S006 36561     ",55,"'US6'","'99TH @ DODGE ST'",1965,61,"9","8","8",8,"G",76150,1,FALSE
"S006 36742     ",55,"'US6'","'78TH @ DODGE OMAHA'",1933,93,"6","5","6",5,"F",47915,2,FALSE
"S006 37025     ",55,"'US6'","'DODGE @ SADDLE CR OMAHA'",1934,92,"4","4","5",4,"P",26220,2,TRUE
"S031 02440     ",55,"'N31'","'IN ELKHORN'",1938,88,"4","5","4",4,"P",11100,4,TRUE
"S031 02963     ",55,"'N31'","'5N ELKHORN'",1956,70,"N","N","N",7,"G",3490,6,FALSE
"S031 03175     ",55,"'N31'","'7N ELKHORN'",1959,67,"4","4","5",4,"P",2865,5,TRUE
"S036 00429     ",55,"'N36'","'5W ELK CITY'",2017,9,"N","N","N",8,"G",3695,10,FALSE
"S036 00535     ",55,"'N36'","'4W ELK CITY'",1997,29,"6","8","6",6,"F",3695,10,FALSE
"S036 00585     ",55,"'N36'","'3W ELK CITY'",1970,56,"6","6","6",6,"F",3695,10,FALSE
"S036 00657     ",55,"'N36'","'2W ELK CITY'",1944,82,"6","8","6",6,"F",3695,10,FALSE
"S036 00668     ",55,"'N36'","'2W ELK CITY'",1943,83,"N","N","N",7,"G",3695,10,FALSE
"S036 01281     ",55,"'N36'","'2W BENNINGTON'",1971,55,"6","7","7",6,"F",5245,16,FALSE
"S036 01806     ",55,"'N36'","'3E BENNINGTON'",1958,68,"5","5","6",5,"F",8030,15,FALSE
"S036 02040R    ",55,"'N36'","'5E BENNINGTON'",1976,50,"8","8","7",7,"G",4955,10,FALSE
"S050 09127     ",55,"'N50'","'1SW MILLARD'",1965,61,"6","7","7",6,"F",25430,7,FALSE
"S064 05295     ",55,"'N64'","'3W VALLEY'",1994,32,"8","8","7",7,"G",2010,9,FALSE
"S064 05319     ",55,"'N64'","'2.5W VALLEY'",1975,51,"7","7","7",7,"G",2010,9,FALSE
"S064 05561     ",55,"'N64'","'IN VALLEY'",2001,25,"8","8","8",8,"G",4215,7,FALSE
"S064 05635     ",55,"'N64'","'1N VALLEY'",1998,28,"6","8","7",6,"F",5055,7,FALSE
"S064 06033     ",55,"'N64'","'1NE WATERLOO'",1984,42,"7","7","6",6,"F",5055,7,FALSE
"S064 06054     ",55,"'N64'","'1E WATERLOO'",1981,45,"N","N","N",6,"F",5055,7,FALSE
"S064 06064     ",55,"'N64'","'1E WATERLOO'",1981,45,"N","N","N",7,"G",5055,7,FALSE
"S064 06125     ",55,"'N64'","'2.3E WATERLOO'",1981,45,"N","N","N",7,"G",5055,7,FALSE
"S064 06169     ",55,"'N64'","'1W ELKHORN'",1981,45,"N","N","N",6,"F",5055,7,FALSE
"S064 06616L    ",55,"'WB-N64'","'3E ELKHORN'",1991,35,"8","8","7",7,"G",30935,1,FALSE
"S064 06616R    ",55,"'N64 NB'","'3E ELKHORN'",1983,43,"8","8","7",7,"G",30935,1,FALSE
"S064 07011L    ",55,"'WB-N64'","'7E ELKHORN'",1966,60,"8","7","7",7,"G",38140,3,FALSE
"S064 07011R    ",55,"'EB-N64'","'7E ELKHORN'",1978,48,"8","7","7",7,"G",38140,3,FALSE
"S064 07280     ",55,"'N64'","'10E ELKHORN'",1969,57,"5","5","6",5,"F",23595,2,FALSE
"S064 07384     ",55,"'N64'","'75TH & MAPLE OMAHA'",1969,57,"N","N","N",6,"F",23595,2,FALSE
"S064 07824     ",55,"'N64'","'33RD & CUMING OMAHA'",1955,71,"5","5","6",5,"F",23235,2,FALSE
"S075 08580L    ",55,"'SB-US75'","'OMAHA @ GILMORE AVE'",1991,35,"6","7","6",6,"F",68665,4,FALSE
"S075 08580R    ",55,"'NB-US75'","'OMAHA @ GILMORE AVE'",1991,35,"6","7","6",6,"F",68665,4,FALSE
"S075 08663     ",55,"'Q ST/FAU 5026'","'KENNEDY EXP/Q ST INTRCHG'",1978,48,"6","8","7",6,"F",12600,0,FALSE
"S075 08682     ",55,"'O STREET'","'IN OMAHA'",1978,48,"6","7","8",6,"F",1500,10,FALSE
"S075 08730L    ",55,"'US75'","'IN OMAHA'",1970,56,"4","7","6",4,"P",85640,3,TRUE
"S075 08730R    ",55,"'US75'","'IN OMAHA'",1970,56,"7","7","7",7,"G",85640,3,FALSE
"S075 08766     ",55,"'F ST/FAU 5030'","'KENNEDY EXP/F ST INTRCHG'",1970,56,"5","6","5",5,"F",7380,0,FALSE
"S075 09074     ",55,"'SB-US75'","'28TH & DODGE INTERCHANGE'",2009,17,"9","9","8",8,"G",72270,4,FALSE
"S075 09076     ",55,"'NB-US75'","'US75 NB OVER 480 OMAHA'",2005,21,"8","8","7",7,"G",72270,4,FALSE
"S075 09084     ",55,"'NB-US75'","'28TH & DODGE INTRCHG'",2005,21,"8","8","8",8,"G",72270,4,FALSE
"S075 09102A    ",55,"'US75/CUMING ST EXT'","'US75/BURT ST'",2005,21,"8","8","8",8,"G",72270,4,FALSE
"S075 09102B    ",55,"'US75 I480 ACCESS'","'US75/BURT ST'",2007,19,"8","8","8",8,"G",72270,4,FALSE
"S075 09102C    ",55,"'NB-US75'","'US75/BURT ST'",2005,21,"8","8","8",8,"G",72270,4,FALSE
"S075 09102D    ",55,"'NB-US75'","'US75/BURT STREET'",2005,21,"9","8","8",8,"G",72270,4,FALSE
"S075 09102E    ",55,"'US75SB RAMP OV BUR'","'US75/BURT STREET'",2007,19,"8","8","8",8,"G",72270,4,FALSE
"S075 09106     ",55,"'SB-US75'","'US75/N64 INTERCHG'",2009,17,"8","8","7",7,"G",59725,4,FALSE
"S075 09109L    ",55,"'SB US75 OVER CUMIN'","'US75/N64 INTERCHG'",2007,19,"9","8","8",8,"G",59725,4,FALSE
"S075 09109R    ",55,"'NB-US75'","'US75/N64 INTERCHG'",2005,21,"8","8","8",8,"G",59725,4,FALSE
"S075 09137     ",55,"'HAMILTN ST/FAU5066'","'HAMILTON ST INTRCHG'",1977,49,"4","6","6",4,"P",8730,0,TRUE
"S075 09169     ",55,"'PARKER ST'","'IN OMAHA'",1977,49,"6","7","6",6,"F",5000,10,FALSE
"S075 09202     ",55,"'LAKE ST/FAU 5068'","'LAKE ST INTRCHG'",1982,44,"7","7","8",7,"G",7200,0,FALSE
"S075 09233     ",55,"'BINNEY ST'","'OMAHA US75 & BINNEY ST'",1985,41,"6","7","7",6,"F",4000,10,FALSE
"S075 09255     ",55,"'BRISTOL ST'","'OMAHA BRISTOL @ US75'",1984,42,"7","7","7",7,"G",1200,10,FALSE
"S075 09302     ",55,"'SPRAGUE ST/FAU507'","'SPRAGUE @ US75   OMAHA'",1986,40,"7","7","8",7,"G",3100,5,FALSE
"S075 09327     ",55,"'AMES AVE/FAU 5080'","'AMES AVE/STORZ EXP INTCHG'",1984,42,"7","7","8",7,"G",9000,0,FALSE
"S075 09341     ",55,"'SB-STORZ EXP'","'AMES AVE/STORZ EXP INTCHG'",1986,40,"8","8","8",8,"G",720,0,FALSE
"S075 09354A    ",55,"'SB-STORZ EXP'","'AMES AVE/STORZ EXP INTCHG'",1986,40,"8","7","8",7,"G",720,0,FALSE
"S080 44443     ",55,"'I80'","'1S L ST INTRCHG'",1959,67,"N","N","N",7,"G",103755,11,FALSE
"S080 44459     ",55,"'Q ST/FAU 5026'","'IN OMAHA'",1959,67,"6","7","7",6,"F",22140,4,FALSE
"S080 44507     ",55,"'EB-US275/N92'","'I & L ST INTRCHG'",1959,67,"6","7","6",6,"F",59995,7,FALSE
"S080 44508     ",55,"'WB-US275/N92'","'I & L ST INTRCHG'",1959,67,"6","7","5",5,"F",59995,7,FALSE
"S080 44537     ",55,"'I ST/FAU 5028'","'IN OMAHA'",1959,67,"6","7","6",6,"F",9000,0,FALSE
"S080 44572     ",55,"'WB-CD'","'IN OMAHA'",1988,38,"8","7","7",7,"G",150360,8,FALSE
"S080 44574L    ",55,"'WB-I80 BRG #2W'","'IN OMAHA'",1994,32,"7","8","8",7,"G",150360,8,FALSE
"S080 44574R    ",55,"'EB-I80 BRG# 2E'","'IN OMAHA'",1994,32,"8","8","8",8,"G",150360,8,FALSE
