"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"U1825G5105     ",55,"'42ND ST/FAU 5057'","'OMAHA 42ND @ D'",1960,66,"4","4","5",4,"P",38000,5,TRUE
"U1825G5110     ",55,"'42ND ST/FAU 5057'","'OMAHA 42ND @ I80'",1960,66,"4","4","5",4,"P",38000,5,TRUE
"U1825H1605     ",55,"'BEDFORD AVENUE'","'OMAHA BEDFORD @ 72ND'",1972,54,"N","N","N",6,"F",1200,5,FALSE
"U1825H1805     ",55,"'WESTERN AVE'","'OMAHA WESTERN @ 83RD'",1963,63,"6","7","6",6,"F",4442,5,FALSE
"U1825H1810     ",55,"'WESTERN AVE'","'OMAHA WESTERN @ 77TH'",2005,21,"N","N","N",8,"G",4442,5,FALSE
"U1825H2405     ",55,"'GROVER ST/FAU 5036'","'OMAHA GROVER @ 66TH'",1983,43,"6","7","7",6,"F",14106,5,FALSE
"U1825H3705     ",55,"'C STREET'","'OMAHA C @ PEDERSEN'",1935,91,"N","N","N",6,"F",200,5,FALSE
"U1825H5155     ",55,"'PRIVATE DRIVE'","'37TH ST. S OF MCKINLEY'",1997,29,"N","N","N",7,"G",200,2,FALSE
"U1825I2603     ",55,"'N STREET'","'OMAHA N @ 118TH'",1980,46,"5","6","6",5,"F",400,5,FALSE
"U1825I4705     ",55,"'64TH AVENUE'","'OMAHA 64TH @ CASTELAR'",1978,48,"N","N","N",7,"G",200,5,FALSE
"U1825J1205     ",55,"'HARTMN AVE/FAU5084'","'OMAHA HARTMAN @ 65TH'",1980,46,"5","7","7",5,"F",6408,5,FALSE
"U1825J1225     ",55,"'STORZ EXPRESSWAY'","'STORZ EXP  @ 12TH ST'",1987,39,"7","7","7",7,"G",8100,0,FALSE
"U1825J2205     ",55,"'MERCY RD/FAU 5040'","'OMAHA MERCY @ 65TH'",1980,46,"7","5","6",5,"F",5574,5,FALSE
"U1825J4905     ",55,"'50TH ST.'","'.2S N36 & 50TH ST.'",1965,61,"N","N","N",6,"F",200,1,FALSE
"U1825J5105     ",55,"'39TH ST'","'OMAHA 39TH @ O'",2002,24,"7","7","7",7,"G",500,5,FALSE
"U1825J5505     ",55,"'16TH ST/FAU 5095'","'OMAHA 16TH @ MASON'",1998,28,"7","7","7",7,"G",2840,1,FALSE
"U1825K1435     ",55,"'OLD MPL RD/FAU5154'","'118TH & MAPLE ST'",1994,32,"7","7","7",7,"G",1610,5,FALSE
"U1825K2205     ",55,"'MARTHA ST/FAU 5038'","'OMAHA MARTHA @ 26TH'",1990,36,"6","7","7",6,"F",13846,1,FALSE
"U1825K4510     ",55,"'BURT STREET'","'OMAHA BURT @ 77TH'",1935,91,"7","7","7",7,"G",400,5,FALSE
"U1825M1205     ",55,"'PARKVIEW LANE'","'PARKVIEW LANE @ 66TH'",1982,44,"N","N","N",6,"F",700,5,FALSE
"U1825N3115     ",55,"'B.BOOZER FAU/5135'","'.5N 156TH & US275'",2007,19,"6","7","7",6,"F",12832,5,FALSE
"U1825Q2005     ",55,"'MASON STREET'","'OMAHA MASON @ 16TH'",1998,28,"7","7","7",7,"G",552,10,FALSE
"U1825Q3505     ",55,"'ARBOR STREET'","'OMAHA ARBOR @ 129TH'",1977,49,"7","6","5",5,"F",430,10,FALSE
"U1825Q5505     ",55,"'10TH ST/FAU 5103'","'OMAHA 10TH @ LEAVENWORTH'",2000,26,"7","7","7",7,"G",5256,1,FALSE
"U1825Q5510     ",55,"'10TH ST/FAU 5103'","'OMAHA 10TH FARNAM/DOUGLAS'",1983,43,"7","7","7",7,"G",10707,1,FALSE
"U1825R1805     ",55,"'N BRDG RD/FAU5011'","'N BRIDGE RD @ 111TH ST'",2004,22,"7","7","7",7,"G",11262,5,FALSE
